LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_NM,INSTN_NAME,LABEL_LVL_3_DESC,LABEL_LVL_2_DESC,FTE,INEXPERIENCED_FTE,INEXPERIENCED_FTE_PCT,SCHOOL_ID,MATCHING_NAME,CONFIDENCE
2017-18,Appling County,Altamaha Elementary School,Leaders,Not Applicable,1.0,0.0,0,6011050,Altamaha Elementary School,100
2017-18,Appling County,Altamaha Elementary School,Teachers,Total,29.2,5.0,17,6011050,Altamaha Elementary School,100
2017-18,Appling County,Appling County Elementary School,Leaders,Not Applicable,2.0,0.0,0,6010177,Appling County Elementary School,100
2017-18,Appling County,Appling County Elementary School,Teachers,Total,43.9,11.0,25,6010177,Appling County Elementary School,100
2017-18,Appling County,Appling County High School,Leaders,Not Applicable,2.0,0.0,0,6010103,Appling County High School,100
2017-18,Appling County,Appling County High School,Teachers,Total,70.9,26.3,37,6010103,Appling County High School,100
2017-18,Appling County,Appling County Middle School,Leaders,Not Applicable,2.0,1.0,50,6010195,Appling County Middle School,100
2017-18,Appling County,Appling County Middle School,Teachers,Total,56.1,21.0,37,6010195,Appling County Middle School,100
2017-18,Appling County,Appling County Primary School,Leaders,Not Applicable,2.0,1.0,50,6010277,Appling County Primary School,100
2017-18,Appling County,Appling County Primary School,Teachers,Total,57.0,21.0,37,6010277,Appling County Primary School,100
2017-18,Appling County,Appling County- All Schools,Leaders,Total,10.0,3.0,30,6010103,Appling County High School,85
2017-18,Appling County,Appling County- All Schools,Teachers,Total,273.1,89.3,33,6010103,Appling County High School,85
2017-18,Appling County,Fourth District Elementary School,Leaders,Not Applicable,1.0,1.0,100,6015050,Fourth District Elementary School,100
2017-18,Appling County,Fourth District Elementary School,Teachers,Total,16.3,6.0,37,6015050,Fourth District Elementary School,100
2017-18,Atkinson County,Atkinson County High School,Leaders,Not Applicable,2.1,1.0,48,6020103,Atkinson County High School,100
2017-18,Atkinson County,Atkinson County High School,Teachers,Total,31.7,12.3,39,6020103,Atkinson County High School,100
2017-18,Atkinson County,Atkinson County Middle School,Leaders,Not Applicable,2.2,0.0,0,6020111,Atkinson County Middle School,100
2017-18,Atkinson County,Atkinson County Middle School,Teachers,Total,26.0,11.9,46,6020111,Atkinson County Middle School,100
2017-18,Atkinson County,Atkinson County- All Schools,Leaders,High Poverty,3.2,2.1,66,6020103,Atkinson County High School,85
2017-18,Atkinson County,Atkinson County- All Schools,Leaders,Total,7.5,3.1,42,6020103,Atkinson County High School,85
2017-18,Atkinson County,Atkinson County- All Schools,Teachers,High Poverty,65.0,10.0,15,6020103,Atkinson County High School,85
2017-18,Atkinson County,Atkinson County- All Schools,Teachers,Total,121.8,33.2,27,6020103,Atkinson County High School,85
2017-18,Atkinson County,Pearson Elementary School,Leaders,High Poverty,2.1,2.1,100,6020190,Pearson Elementary School,100
2017-18,Atkinson County,Pearson Elementary School,Teachers,High Poverty,47.3,8.0,17,6020190,Pearson Elementary School,100
2017-18,Atkinson County,Pearson Elementary School,Teachers,Total,47.3,8.0,17,6020190,Pearson Elementary School,100
2017-18,Atkinson County,Willacoochee Elementary School,Leaders,High Poverty,1.1,0.0,0,6020187,Willacoochee Elementary School,100
2017-18,Atkinson County,Willacoochee Elementary School,Teachers,High Poverty,15.5,1.2,8,6020187,Willacoochee Elementary School,100
2017-18,Atkinson County,Willacoochee Elementary School,Teachers,Total,15.5,1.2,8,6020187,Willacoochee Elementary School,100
2017-18,Atlanta Public Schools,APS-Forrest Hills Academy,Leaders,High Poverty,4.0,2.0,50,7610403,APS-Forrest Hills Academy,100
2017-18,Atlanta Public Schools,APS-Forrest Hills Academy,Teachers,High Poverty,49.2,36.2,74,7610403,APS-Forrest Hills Academy,100
2017-18,Atlanta Public Schools,APS-Forrest Hills Academy,Teachers,Total,49.2,36.2,74,7610403,APS-Forrest Hills Academy,100
2017-18,Atlanta Public Schools,Atlanta Classical Academy,Leaders,Low Poverty,3.0,2.0,67,7610415,Atlanta Classical Academy,100
2017-18,Atlanta Public Schools,Atlanta Classical Academy,Teachers,Low Poverty,52.0,37.0,71,7610415,Atlanta Classical Academy,100
2017-18,Atlanta Public Schools,Atlanta Classical Academy,Teachers,Total,52.0,37.0,71,7610415,Atlanta Classical Academy,100
2017-18,Atlanta Public Schools,Atlanta Neighborhood Charter - Elementary,Leaders,Low Poverty,2.0,0.0,0,7610505,Atlanta Neighborhood Charter - Elementary,100
2017-18,Atlanta Public Schools,Atlanta Neighborhood Charter - Elementary,Teachers,Low Poverty,35.1,16.1,46,7610505,Atlanta Neighborhood Charter - Elementary,100
2017-18,Atlanta Public Schools,Atlanta Neighborhood Charter - Elementary,Teachers,Total,35.1,16.1,46,7610505,Atlanta Neighborhood Charter - Elementary,100
2017-18,Atlanta Public Schools,Atlanta Neighborhood Charter - Middle,Leaders,Low Poverty,2.0,1.0,50,7610206,Atlanta Neighborhood Charter - Middle,100
2017-18,Atlanta Public Schools,Atlanta Neighborhood Charter - Middle,Teachers,Low Poverty,28.0,17.0,61,7610206,Atlanta Neighborhood Charter - Middle,100
2017-18,Atlanta Public Schools,Atlanta Neighborhood Charter - Middle,Teachers,Total,28.0,17.0,61,7610206,Atlanta Neighborhood Charter - Middle,100
2017-18,Atlanta Public Schools,Atlanta Public Schools- All Schools,Leaders,High Poverty,201.0,86.5,43,6570103,Coosa Middle School,68
2017-18,Atlanta Public Schools,Atlanta Public Schools- All Schools,Leaders,Low Poverty,49.0,23.0,47,6570103,Coosa Middle School,68
2017-18,Atlanta Public Schools,Atlanta Public Schools- All Schools,Leaders,Total,267.0,118.5,44,6570103,Coosa Middle School,68
2017-18,Atlanta Public Schools,Atlanta Public Schools- All Schools,Teachers,High Poverty,2946.2,1623.2,55,6570103,Coosa Middle School,68
2017-18,Atlanta Public Schools,Atlanta Public Schools- All Schools,Teachers,Low Poverty,1003.0,417.9,42,6570103,Coosa Middle School,68
2017-18,Atlanta Public Schools,Atlanta Public Schools- All Schools,Teachers,Total,4210.3,2187.6,52,6570103,Coosa Middle School,68
2017-18,Atlanta Public Schools,B.E.S.T Academy,Leaders,High Poverty,4.0,1.0,25,7611411,B.E.S.T Academy,100
2017-18,Atlanta Public Schools,B.E.S.T Academy,Teachers,High Poverty,58.5,32.5,56,7611411,B.E.S.T Academy,100
2017-18,Atlanta Public Schools,B.E.S.T Academy,Teachers,Total,58.5,32.5,56,7611411,B.E.S.T Academy,100
2017-18,Atlanta Public Schools,Barack and Michelle Obama Academy,Leaders,High Poverty,2.0,0.0,0,7615066,Barack and Michelle Obama Academy,100
2017-18,Atlanta Public Schools,Barack and Michelle Obama Academy,Teachers,High Poverty,26.0,16.5,63,7615066,Barack and Michelle Obama Academy,100
2017-18,Atlanta Public Schools,Barack and Michelle Obama Academy,Teachers,Total,26.0,16.5,63,7615066,Barack and Michelle Obama Academy,100
2017-18,Atlanta Public Schools,Bazoline E. Usher/Collier Heights Elmentary School,Leaders,High Poverty,2.0,0.0,0,7610604,Bazoline E. Usher/Collier Heights Elmentary School,100
2017-18,Atlanta Public Schools,Bazoline E. Usher/Collier Heights Elmentary School,Teachers,High Poverty,36.7,16.5,45,7610604,Bazoline E. Usher/Collier Heights Elmentary School,100
2017-18,Atlanta Public Schools,Bazoline E. Usher/Collier Heights Elmentary School,Teachers,Total,36.7,16.5,45,7610604,Bazoline E. Usher/Collier Heights Elmentary School,100
2017-18,Atlanta Public Schools,Beecher Hills Elementary School,Leaders,High Poverty,2.0,0.5,25,7613051,Beecher Hills Elementary School,100
2017-18,Atlanta Public Schools,Beecher Hills Elementary School,Teachers,High Poverty,33.5,10.6,32,7613051,Beecher Hills Elementary School,100
2017-18,Atlanta Public Schools,Beecher Hills Elementary School,Teachers,Total,33.5,10.6,32,7613051,Beecher Hills Elementary School,100
2017-18,Atlanta Public Schools,Benteen Elementary School,Leaders,High Poverty,2.0,0.0,0,7615051,Benteen Elementary School,100
2017-18,Atlanta Public Schools,Benteen Elementary School,Teachers,High Poverty,27.6,18.1,66,7615051,Benteen Elementary School,100
2017-18,Atlanta Public Schools,Benteen Elementary School,Teachers,Total,27.6,18.1,66,7615051,Benteen Elementary School,100
2017-18,Atlanta Public Schools,Bolton Academy,Leaders,Not Applicable,2.0,1.0,50,7610303,Bolton Academy,100
2017-18,Atlanta Public Schools,Bolton Academy,Teachers,Total,50.0,26.0,52,7610303,Bolton Academy,100
2017-18,Atlanta Public Schools,Booker T. Washington High School,Leaders,High Poverty,5.0,0.0,0,7610315,Booker T. Washington High School,100
2017-18,Atlanta Public Schools,Booker T. Washington High School,Teachers,High Poverty,83.8,53.0,63,7610315,Booker T. Washington High School,100
2017-18,Atlanta Public Schools,Booker T. Washington High School,Teachers,Total,83.8,53.0,63,7610315,Booker T. Washington High School,100
2017-18,Atlanta Public Schools,Boyd Elementary School,Leaders,High Poverty,2.0,2.0,100,7611053,Boyd Elementary School,100
