LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_NM,INSTN_NAME,LABEL_LVL_3_DESC,LABEL_LVL_2_DESC,FTE,OUTOFFIELD_FTE,OUTOFFIELD_FTE_PCT,SCHOOL_ID,MATCHING_NAME,CONFIDENCE
2017-18,Appling County,Altamaha Elementary School,Teachers,Total,29.2,3.3,11,6011050,Altamaha Elementary School,100
2017-18,Appling County,Appling County Elementary School,Teachers,Total,43.9,2.5,6,6010177,Appling County Elementary School,100
2017-18,Appling County,Appling County High School,Teachers,Total,70.9,7.0,10,6010103,Appling County High School,100
2017-18,Appling County,Appling County Middle School,Teachers,Total,56.1,3.4,6,6010195,Appling County Middle School,100
2017-18,Appling County,Appling County Primary School,Teachers,Total,57.0,11.5,20,6010277,Appling County Primary School,100
2017-18,Appling County,Appling County- All Schools,Teachers,Total,273.1,27.1,10,6010103,Appling County High School,85
2017-18,Appling County,Fourth District Elementary School,Teachers,Total,16.3,0.2,1,6015050,Fourth District Elementary School,100
2017-18,Atkinson County,Atkinson County High School,Teachers,Total,31.7,6.0,19,6020103,Atkinson County High School,100
2017-18,Atkinson County,Atkinson County Middle School,Teachers,Total,26.0,5.2,20,6020111,Atkinson County Middle School,100
2017-18,Atkinson County,Atkinson County- All Schools,Teachers,High Poverty,65.0,4.0,6,6020103,Atkinson County High School,85
2017-18,Atkinson County,Atkinson County- All Schools,Teachers,Total,121.8,14.5,12,6020103,Atkinson County High School,85
2017-18,Atkinson County,Pearson Elementary School,Teachers,High Poverty,47.3,1.8,4,6020190,Pearson Elementary School,100
2017-18,Atkinson County,Pearson Elementary School,Teachers,Total,47.3,1.8,4,6020190,Pearson Elementary School,100
2017-18,Atkinson County,Willacoochee Elementary School,Teachers,High Poverty,15.5,2.2,14,6020187,Willacoochee Elementary School,100
2017-18,Atkinson County,Willacoochee Elementary School,Teachers,Total,15.5,2.2,14,6020187,Willacoochee Elementary School,100
2017-18,Atlanta Public Schools,APS-Forrest Hills Academy,Teachers,High Poverty,49.2,10.8,22,7610403,APS-Forrest Hills Academy,100
2017-18,Atlanta Public Schools,APS-Forrest Hills Academy,Teachers,Total,49.2,10.8,22,7610403,APS-Forrest Hills Academy,100
2017-18,Atlanta Public Schools,Atlanta Classical Academy,Teachers,Low Poverty,52.0,15.6,30,7610415,Atlanta Classical Academy,100
2017-18,Atlanta Public Schools,Atlanta Classical Academy,Teachers,Total,52.0,15.6,30,7610415,Atlanta Classical Academy,100
2017-18,Atlanta Public Schools,Atlanta Neighborhood Charter - Elementary,Teachers,Low Poverty,35.1,13.0,37,7610505,Atlanta Neighborhood Charter - Elementary,100
2017-18,Atlanta Public Schools,Atlanta Neighborhood Charter - Elementary,Teachers,Total,35.1,13.0,37,7610505,Atlanta Neighborhood Charter - Elementary,100
2017-18,Atlanta Public Schools,Atlanta Neighborhood Charter - Middle,Teachers,Low Poverty,28.0,10.7,38,7610206,Atlanta Neighborhood Charter - Middle,100
2017-18,Atlanta Public Schools,Atlanta Neighborhood Charter - Middle,Teachers,Total,28.0,10.7,38,7610206,Atlanta Neighborhood Charter - Middle,100
2017-18,Atlanta Public Schools,Atlanta Public Schools- All Schools,Teachers,High Poverty,2946.2,569.3,19,6570103,Coosa Middle School,68
2017-18,Atlanta Public Schools,Atlanta Public Schools- All Schools,Teachers,Low Poverty,1003.0,173.6,17,6570103,Coosa Middle School,68
2017-18,Atlanta Public Schools,Atlanta Public Schools- All Schools,Teachers,Total,4210.3,812.0,19,6570103,Coosa Middle School,68
2017-18,Atlanta Public Schools,B.E.S.T Academy,Teachers,High Poverty,58.5,7.2,12,7611411,B.E.S.T Academy,100
2017-18,Atlanta Public Schools,B.E.S.T Academy,Teachers,Total,58.5,7.2,12,7611411,B.E.S.T Academy,100
2017-18,Atlanta Public Schools,Barack and Michelle Obama Academy,Teachers,High Poverty,26.0,2.0,8,7615066,Barack and Michelle Obama Academy,100
2017-18,Atlanta Public Schools,Barack and Michelle Obama Academy,Teachers,Total,26.0,2.0,8,7615066,Barack and Michelle Obama Academy,100
2017-18,Atlanta Public Schools,Bazoline E. Usher/Collier Heights Elmentary School,Teachers,High Poverty,36.7,6.2,17,7610604,Bazoline E. Usher/Collier Heights Elmentary School,100
2017-18,Atlanta Public Schools,Bazoline E. Usher/Collier Heights Elmentary School,Teachers,Total,36.7,6.2,17,7610604,Bazoline E. Usher/Collier Heights Elmentary School,100
2017-18,Atlanta Public Schools,Beecher Hills Elementary School,Teachers,High Poverty,33.5,4.8,14,7613051,Beecher Hills Elementary School,100
2017-18,Atlanta Public Schools,Beecher Hills Elementary School,Teachers,Total,33.5,4.8,14,7613051,Beecher Hills Elementary School,100
2017-18,Atlanta Public Schools,Benteen Elementary School,Teachers,High Poverty,27.6,5.7,21,7615051,Benteen Elementary School,100
2017-18,Atlanta Public Schools,Benteen Elementary School,Teachers,Total,27.6,5.7,21,7615051,Benteen Elementary School,100
