LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_NM,INSTN_NAME,SYSTEM_NAME,SCHOOL_NAME,LABEL_LVL_3_DESC,LABEL_LVL_2_DESC,FTE,INEXPERIENCED_FTE,INEXPERIENCED_FTE_PCT,FULL_SCHOOL_ID
2017-18,APPLING COUNTY,ALTAMAHA ELEMENTARY SCHOOL,APPLING COUNTY,ALTAMAHA ELEMENTARY SCHOOL,Leaders,Not Applicable,1.0,0.0,0,6011050.0
2017-18,APPLING COUNTY,ALTAMAHA ELEMENTARY SCHOOL,APPLING COUNTY,ALTAMAHA ELEMENTARY SCHOOL,Teachers,Total,29.2,5.0,17,6011050.0
2017-18,APPLING COUNTY,APPLING COUNTY ELEMENTARY SCHOOL,APPLING COUNTY,APPLING COUNTY ELEMENTARY SCHOOL,Leaders,Not Applicable,2.0,0.0,0,6010177.0
2017-18,APPLING COUNTY,APPLING COUNTY ELEMENTARY SCHOOL,APPLING COUNTY,APPLING COUNTY ELEMENTARY SCHOOL,Teachers,Total,43.9,11.0,25,6010177.0
2017-18,APPLING COUNTY,APPLING COUNTY HIGH SCHOOL,APPLING COUNTY,APPLING COUNTY HIGH SCHOOL,Leaders,Not Applicable,2.0,0.0,0,6010103.0
2017-18,APPLING COUNTY,APPLING COUNTY HIGH SCHOOL,APPLING COUNTY,APPLING COUNTY HIGH SCHOOL,Teachers,Total,70.9,26.3,37,6010103.0
2017-18,APPLING COUNTY,APPLING COUNTY MIDDLE SCHOOL,APPLING COUNTY,APPLING COUNTY MIDDLE SCHOOL,Leaders,Not Applicable,2.0,1.0,50,6010195.0
2017-18,APPLING COUNTY,APPLING COUNTY MIDDLE SCHOOL,APPLING COUNTY,APPLING COUNTY MIDDLE SCHOOL,Teachers,Total,56.1,21.0,37,6010195.0
2017-18,APPLING COUNTY,APPLING COUNTY PRIMARY SCHOOL,APPLING COUNTY,APPLING COUNTY PRIMARY SCHOOL,Leaders,Not Applicable,2.0,1.0,50,6010277.0
2017-18,APPLING COUNTY,APPLING COUNTY PRIMARY SCHOOL,APPLING COUNTY,APPLING COUNTY PRIMARY SCHOOL,Teachers,Total,57.0,21.0,37,6010277.0
2017-18,APPLING COUNTY,FOURTH DISTRICT ELEMENTARY SCHOOL,APPLING COUNTY,FOURTH DISTRICT ELEMENTARY SCHOOL,Leaders,Not Applicable,1.0,1.0,100,6015050.0
2017-18,APPLING COUNTY,FOURTH DISTRICT ELEMENTARY SCHOOL,APPLING COUNTY,FOURTH DISTRICT ELEMENTARY SCHOOL,Teachers,Total,16.3,6.0,37,6015050.0
2017-18,ATKINSON COUNTY,ATKINSON COUNTY HIGH SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY HIGH SCHOOL,Leaders,Not Applicable,2.1,1.0,48,6020103.0
2017-18,ATKINSON COUNTY,ATKINSON COUNTY HIGH SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY HIGH SCHOOL,Teachers,Total,31.7,12.3,39,6020103.0
2017-18,ATKINSON COUNTY,ATKINSON COUNTY MIDDLE SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY MIDDLE SCHOOL,Leaders,Not Applicable,2.2,0.0,0,6020111.0
2017-18,ATKINSON COUNTY,ATKINSON COUNTY MIDDLE SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY MIDDLE SCHOOL,Teachers,Total,26.0,11.9,46,6020111.0
2017-18,ATKINSON COUNTY,PEARSON ELEMENTARY SCHOOL,ATKINSON COUNTY,PEARSON ELEMENTARY SCHOOL,Leaders,High Poverty,2.1,2.1,100,6020190.0
2017-18,ATKINSON COUNTY,PEARSON ELEMENTARY SCHOOL,ATKINSON COUNTY,PEARSON ELEMENTARY SCHOOL,Teachers,High Poverty,47.3,8.0,17,6020190.0
2017-18,ATKINSON COUNTY,PEARSON ELEMENTARY SCHOOL,ATKINSON COUNTY,PEARSON ELEMENTARY SCHOOL,Teachers,Total,47.3,8.0,17,6020190.0
2017-18,ATKINSON COUNTY,WILLACOOCHEE ELEMENTARY SCHOOL,ATKINSON COUNTY,WILLACOOCHEE ELEMENTARY SCHOOL,Leaders,High Poverty,1.1,0.0,0,6020187.0
2017-18,ATKINSON COUNTY,WILLACOOCHEE ELEMENTARY SCHOOL,ATKINSON COUNTY,WILLACOOCHEE ELEMENTARY SCHOOL,Teachers,High Poverty,15.5,1.2,8,6020187.0
2017-18,ATKINSON COUNTY,WILLACOOCHEE ELEMENTARY SCHOOL,ATKINSON COUNTY,WILLACOOCHEE ELEMENTARY SCHOOL,Teachers,Total,15.5,1.2,8,6020187.0
2017-18,ATLANTA PUBLIC SCHOOLS,APS-FORREST HILLS ACADEMY,ATLANTA PUBLIC SCHOOLS,APS-FORREST HILLS ACADEMY,Leaders,High Poverty,4.0,2.0,50,7610403.0
2017-18,ATLANTA PUBLIC SCHOOLS,APS-FORREST HILLS ACADEMY,ATLANTA PUBLIC SCHOOLS,APS-FORREST HILLS ACADEMY,Teachers,High Poverty,49.2,36.2,74,7610403.0
2017-18,ATLANTA PUBLIC SCHOOLS,APS-FORREST HILLS ACADEMY,ATLANTA PUBLIC SCHOOLS,APS-FORREST HILLS ACADEMY,Teachers,Total,49.2,36.2,74,7610403.0
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA CLASSICAL ACADEMY,ATLANTA PUBLIC SCHOOLS,ATLANTA CLASSICAL ACADEMY,Leaders,Low Poverty,3.0,2.0,67,7610415.0
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA CLASSICAL ACADEMY,ATLANTA PUBLIC SCHOOLS,ATLANTA CLASSICAL ACADEMY,Teachers,Low Poverty,52.0,37.0,71,7610415.0
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA CLASSICAL ACADEMY,ATLANTA PUBLIC SCHOOLS,ATLANTA CLASSICAL ACADEMY,Teachers,Total,52.0,37.0,71,7610415.0
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,Leaders,Low Poverty,2.0,0.0,0,7610505.0
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,Teachers,Low Poverty,35.1,16.1,46,7610505.0
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,Teachers,Total,35.1,16.1,46,7610505.0
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,Leaders,Low Poverty,2.0,1.0,50,7610206.0
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,Teachers,Low Poverty,28.0,17.0,61,7610206.0
