LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_NM,INSTN_NAME,SYSTEM_NAME,SCHOOL_NAME,FULL_SCHOOL_ID,LABEL_LVL_3_DESC,LABEL_LVL_2_DESC,FTE,OUTOFFIELD_FTE,OUTOFFIELD_FTE_PCT
2017-18,APPLING COUNTY,ALTAMAHA ELEMENTARY SCHOOL,APPLING COUNTY,ALTAMAHA ELEMENTARY SCHOOL,6011050.0,Teachers,Total,29.2,3.3,11
2017-18,APPLING COUNTY,APPLING COUNTY ELEMENTARY SCHOOL,APPLING COUNTY,APPLING COUNTY ELEMENTARY SCHOOL,6010177.0,Teachers,Total,43.9,2.5,6
2017-18,APPLING COUNTY,APPLING COUNTY HIGH SCHOOL,APPLING COUNTY,APPLING COUNTY HIGH SCHOOL,6010103.0,Teachers,Total,70.9,7.0,10
2017-18,APPLING COUNTY,APPLING COUNTY MIDDLE SCHOOL,APPLING COUNTY,APPLING COUNTY MIDDLE SCHOOL,6010195.0,Teachers,Total,56.1,3.4,6
2017-18,APPLING COUNTY,APPLING COUNTY PRIMARY SCHOOL,APPLING COUNTY,APPLING COUNTY PRIMARY SCHOOL,6010277.0,Teachers,Total,57.0,11.5,20
2017-18,APPLING COUNTY,FOURTH DISTRICT ELEMENTARY SCHOOL,APPLING COUNTY,FOURTH DISTRICT ELEMENTARY SCHOOL,6015050.0,Teachers,Total,16.3,0.2,1
2017-18,ATKINSON COUNTY,ATKINSON COUNTY HIGH SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY HIGH SCHOOL,6020103.0,Teachers,Total,31.7,6.0,19
2017-18,ATKINSON COUNTY,ATKINSON COUNTY MIDDLE SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY MIDDLE SCHOOL,6020111.0,Teachers,Total,26.0,5.2,20
2017-18,ATKINSON COUNTY,PEARSON ELEMENTARY SCHOOL,ATKINSON COUNTY,PEARSON ELEMENTARY SCHOOL,6020190.0,Teachers,High Poverty,47.3,1.8,4
2017-18,ATKINSON COUNTY,PEARSON ELEMENTARY SCHOOL,ATKINSON COUNTY,PEARSON ELEMENTARY SCHOOL,6020190.0,Teachers,Total,47.3,1.8,4
2017-18,ATKINSON COUNTY,WILLACOOCHEE ELEMENTARY SCHOOL,ATKINSON COUNTY,WILLACOOCHEE ELEMENTARY SCHOOL,6020187.0,Teachers,High Poverty,15.5,2.2,14
2017-18,ATKINSON COUNTY,WILLACOOCHEE ELEMENTARY SCHOOL,ATKINSON COUNTY,WILLACOOCHEE ELEMENTARY SCHOOL,6020187.0,Teachers,Total,15.5,2.2,14
2017-18,ATLANTA PUBLIC SCHOOLS,APS-FORREST HILLS ACADEMY,ATLANTA PUBLIC SCHOOLS,APS-FORREST HILLS ACADEMY,7610403.0,Teachers,High Poverty,49.2,10.8,22
2017-18,ATLANTA PUBLIC SCHOOLS,APS-FORREST HILLS ACADEMY,ATLANTA PUBLIC SCHOOLS,APS-FORREST HILLS ACADEMY,7610403.0,Teachers,Total,49.2,10.8,22
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA CLASSICAL ACADEMY,ATLANTA PUBLIC SCHOOLS,ATLANTA CLASSICAL ACADEMY,7610415.0,Teachers,Low Poverty,52.0,15.6,30
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA CLASSICAL ACADEMY,ATLANTA PUBLIC SCHOOLS,ATLANTA CLASSICAL ACADEMY,7610415.0,Teachers,Total,52.0,15.6,30
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,7610505.0,Teachers,Low Poverty,35.1,13.0,37
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,7610505.0,Teachers,Total,35.1,13.0,37
2017-18,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,ATLANTA PUBLIC SCHOOLS,ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,7610206.0,Teachers,Low Poverty,28.0,10.7,38
