LONG_SCHOOL_YEAR,SCHOOL_DSTRCT_NM,INSTN_NAME,LABEL_LVL_3_DESC,LABEL_LVL_2_DESC,FTE,INEXPERIENCED_FTE,INEXPERIENCED_FTE_PCT,Full School_ID,FISCAL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,County,FAC_SCHTYPE,GRADE_RANGE,SCHOOL_ADDRESS,SCHOOL_CITY,STATE,SCHOOL_ZIP,MAIL_ADDRESS,MAIL_CITY,MAIL_ZIP,PRINCIPAL_FNAME,PRINCIPAL_LNAME,PRINCIPAL_MNAME,EMAIL_ADDRESS,SCHOOL_PHONE,SCHOOL_FAX,MATCH_TYPE
2017-18,Baker County,BAKER COUNTY LEARNING CENTER,Leaders,High Poverty,0.3,0.3,100,6405050,2019,640,Crisp County,5050,CRISP COUNTY PRE-K,Crisp,E,PK-PK,802 E 24th Ave,Cordele,GA,31015-2105,PO Box 729 ,Cordele,31010,Monica,Warren,,,229.276.3410,229.276.3410,FUZZY
2017-18,Baker County,BAKER COUNTY LEARNING CENTER,Teachers,High Poverty,1.0,1.0,100,6405050,2019,640,Crisp County,5050,CRISP COUNTY PRE-K,Crisp,E,PK-PK,802 E 24th Ave,Cordele,GA,31015-2105,PO Box 729 ,Cordele,31010,Monica,Warren,,,229.276.3410,229.276.3410,FUZZY
2017-18,Baker County,BAKER COUNTY LEARNING CENTER,Teachers,Total,1.0,1.0,100,6405050,2019,640,Crisp County,5050,CRISP COUNTY PRE-K,Crisp,E,PK-PK,802 E 24th Ave,Cordele,GA,31015-2105,PO Box 729 ,Cordele,31010,Monica,Warren,,,229.276.3410,229.276.3410,FUZZY
2017-18,Calhoun City,CALHOUN PRIMARY SCHOOL,Leaders,Not Applicable,2.0,0.0,0,6120197,2019,612,Bleckley County,197,BLECKLEY COUNTY ELEMENTARY SCHOOL,Bleckley,E,03-05,470 Ga Highway 26 E,Cochran,GA,31014-2837,470 Ga Highway 26 E,Cochran,31014-2837,Agena,Dyal,Michele,,478.934.3600,478.934.0309,FUZZY
2017-18,Calhoun City,CALHOUN PRIMARY SCHOOL,Teachers,Total,63.2,23.6,37,6120197,2019,612,Bleckley County,197,BLECKLEY COUNTY ELEMENTARY SCHOOL,Bleckley,E,03-05,470 Ga Highway 26 E,Cochran,GA,31014-2837,470 Ga Highway 26 E,Cochran,31014-2837,Agena,Dyal,Michele,,478.934.3600,478.934.0309,FUZZY
2017-18,Clayton County,EDDIE WHITE ACADEMY,Leaders,High Poverty,4.0,2.0,50,6120115,2019,612,Bleckley County,115,BLECKLEY COUNTY SUCCESS ACADEMY,Bleckley,H,06-12,140 Country Club Rd,Cochran,GA,31014-2818,140 Country Club Rd,Cochran,31014-2818,Denise,Warren,,,478.934.1685,,FUZZY
2017-18,Clayton County,EDDIE WHITE ACADEMY,Teachers,High Poverty,183.3,143.0,78,6120115,2019,612,Bleckley County,115,BLECKLEY COUNTY SUCCESS ACADEMY,Bleckley,H,06-12,140 Country Club Rd,Cochran,GA,31014-2818,140 Country Club Rd,Cochran,31014-2818,Denise,Warren,,,478.934.1685,,FUZZY
2017-18,Clayton County,EDDIE WHITE ACADEMY,Teachers,Total,183.3,143.0,78,6120115,2019,612,Bleckley County,115,BLECKLEY COUNTY SUCCESS ACADEMY,Bleckley,H,06-12,140 Country Club Rd,Cochran,GA,31014-2818,140 Country Club Rd,Cochran,31014-2818,Denise,Warren,,,478.934.1685,,FUZZY
2017-18,Commission Charter Schools- CCAT School,CCAT SCHOOL,Leaders,Not Applicable,1.5,0.0,0,6030102,2019,603,Bacon County,102,BACON COUNTY PRIMARY SCHOOL,Bacon,E,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,Marcy,Chancey,,,912.632.4765,912.632.6611,FUZZY
2017-18,Commission Charter Schools- CCAT School,CCAT SCHOOL,Teachers,Total,18.5,10.5,57,6030102,2019,603,Bacon County,102,BACON COUNTY PRIMARY SCHOOL,Bacon,E,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,Marcy,Chancey,,,912.632.4765,912.632.6611,FUZZY
